"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8350","0","0","0","8.5","8.5","0.05","0","0","0","150","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8400","0.85","1.2","0.8","1.1","1.15","1.1","2970","18713.16","2.16","298500","-70800","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8450","0","0","0","98.7","0","0.05","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8500","0.75","1.15","0.75","1.1","1.1","1.1","3791","24170.24","2.62","906750","-74700","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8550","0","0","0","76.65","0","0","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8600","0.75","1.15","0.75","1.1","1.1","1.1","2572","16591.35","1.95","290925","-1650","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8650","0","0","0","58.9","0","0","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8700","0.55","1","0.55","0.9","0.95","0.9","605","3947.93",".31","30150","-12300","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8750","0","0","0","44.75","0","0","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8800","0.6","0.7","0.5","0.7","0.7","0.7","18","118.81",".01","69375","150","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8850","0","0","0","33.55","0","0","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8900","0.3","0.7","0.3","0.7","0.7","0.7","3","20.03","0","26175","-75","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8950","0","0","0","24.85","0","0","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","9000","0.4","0.45","0.35","0.45","0.45","0.45","946","6385.79",".29","132900","-20025","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","9050","0","0","0","18.2","0","0","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","9100","0","0","0","0.45","0.4","0","0","0","0","28725","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","9150","0","0","0","13.15","0","0","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","9200","0.4","0.4","0.4","0.4","0.4","0.4","18","124.21",".01","2700","-900","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","9250","0","0","0","9.4","0","0","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","9300","0.4","0.45","0.3","0.4","0.4","0.4","366","2552.95",".1","1350","-3150","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","9350","0","0","0","6.65","0","0","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","9400","0.25","0.4","0.2","0.35","0.3","0.35","2498","17611.56",".66","40125","-8250","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","9450","0","0","0","4.8","0","0","0","0","0","0","0","7215.7"
